company_name,experience_required,job_description,job_description_url,job_title,key_skills,location,posted_by,posted_on,salary
WellMed Medical Management,3-6 yrs,,https://www.naukri.com/job-listings-Senior-Data-Engineering-Analyst-WellMed-Medical-Management-Hyderabad-Gurgaon-Noida-3-to-6-years-210918500125?src=jobsearchDesk&sid=1539017124571&xp=27&px=10,Senior Data Engineering Analyst,"Technical support, SDLC, Coding, Debugging, Business solutions...","Hyderabad, Gurgaon, Noida",,2018-09-21,Not disclosed
WellMed Medical Management,3-6 yrs,,https://www.naukri.com/job-listings-Senior-Data-Engineering-Analyst-WellMed-Medical-Management-Gurgaon-Noida-3-to-6-years-210918500116?src=jobsearchDesk&sid=1539017124571&xp=28&px=10,Senior Data Engineering Analyst,"SDLC, tableau, Process compliance, Business Analyst, Healthcare...","Gurgaon, Noida",,2018-09-21,Not disclosed
EDUNUTS,2-5 yrs,,https://www.naukri.com/job-listings-Data-Analyst-EDUNUTS-Delhi-2-to-5-years-310317501552?src=jobsearchDesk&sid=1539017124571&xp=29&px=10,Data Analyst,"Data Analyst, Research, MS Office, Time, Database",Delhi,,2018-08-10,Not disclosed
Tyco Fire & Security India Pvt Ltd,2-4 yrs,,https://www.naukri.com/job-listings-Data-Analyst-Tyco-Fire-Security-India-Pvt-Ltd-Delhi-Bengaluru-Bangalore-2-to-4-years-290216500836?src=jobsearchDesk&sid=1539017124571&xp=30&px=10,Data Analyst,"System Administration, System Integration, Windows Administration...","Delhi, Bengaluru / Bangalore",,2018-08-10,Not disclosed
Zobello,1-2 yrs,,https://www.naukri.com/job-listings-Data-Analyst-Associate-Zobello-Delhi-1-to-2-years-290116503044?src=jobsearchDesk&sid=1539017124571&xp=31&px=10,Data Analyst Associate,"data analysis, data mining, adobe, spss, microsoft excel, data modeling...",Delhi,,2018-08-10,Not disclosed
Zobello,1-2 yrs,,https://www.naukri.com/job-listings-Data-Analyst-Associate-Zobello-Delhi-1-to-2-years-201117501696?src=jobsearchDesk&sid=1539017124571&xp=32&px=10,Data Analyst Associate,"Tools, Data analysis, Data mining, Adobe, SPSS, Microsoft Excel...",Delhi,,2018-08-10,Not disclosed
ZOBELLO,1-6 yrs,,https://www.naukri.com/job-listings-Data-Analyst-Associate-ZOBELLO-Delhi-Delhi-1-to-6-years-120715500181?src=jobsearchDesk&sid=1539017124571&xp=33&px=10,Data Analyst Associate,"adobe, spss, microsoft excel, good analytical skills, analysing, e commerce...","Delhi, Delhi",,2018-08-10,Not disclosed
Zobello,1-2 yrs,,https://www.naukri.com/job-listings-Data-Analyst-Associate-Zobello-Delhi-Delhi-1-to-2-years-050815500195?src=jobsearchDesk&sid=1539017124571&xp=34&px=10,Data Analyst Associate,"data analysis, data mining, modeling, adobe, spss, microsoft excel...","Delhi, Delhi",,2018-08-10,Not disclosed
CRDS Pvt. Ltd.,2-3 yrs,,https://www.naukri.com/job-listings-Data-Analyst-CRDS-Pvt-Ltd-Delhi-2-to-3-years-030816500146?src=jobsearchDesk&sid=1539017124571&xp=35&px=10,Data Analyst,"Oracle, PL / SQL, Developing, new reports, modifying, datases",Delhi,,2018-08-10,Not disclosed
Data Outsourcing India,2-6 yrs,,https://www.naukri.com/job-listings-SEO-Analyst-Data-Outsourcing-India-Delhi-2-to-6-years-250417505852?src=jobsearchDesk&sid=1539017124571&xp=36&px=10,SEO Analyst,"HTML, Internet marketing, Monitoring, Link building, Off-page optimization,...",Delhi,,2018-08-10,Not disclosed
WellMed Medical Management,2-5 yrs,,https://www.naukri.com/job-listings-Business-Analyst-Big-Data-Gurgaon-HR-WellMed-Medical-Management-Gurgaon-2-to-5-years-160318501091?src=jobsearchDesk&sid=1539017124571&xp=37&px=10,"Business Analyst - Big Data - Gurgaon, HR","Analytics, Healthcare, Tools, big data, Business Analyst...",Gurgaon,,2018-08-10,Not disclosed
