company_name,experience_required,job_description,job_description_url,job_title,key_skills,location,posted_by,posted_on,salary
,,,,,,,,,
Sanjeo Technologies,0-4 yrs,,https://www.naukri.com/job-listings-Data-Analyst-Sanjeo-Technologies-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Kolkata-Chandigarh-Indore-Jaipur-0-to-4-years-030918004188?src=jobsearchDesk&sid=1539017115299&xp=1&px=2,Data Analyst,"powerpoint, word, publishing, data analysis, excel, sql, sas, spss, vba, ms...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Kolkata, Chandigarh, Indore, Jaipur",Sanjana Singh,2018-09-10,"4,25,000 - 9,25,000 P.A. Best in Industries"
KartRocket,3-4 yrs,Experience in direct marketing campaign analysis and reporting;Experience in data-driven problem ...,https://www.naukri.com/job-listings-Marketing-Data-Analyst-KartRocket-Delhi-3-to-4-years-180918004187?src=jobsearchDesk&sid=1539017115299&xp=2&px=2,Marketing / Data Analyst,"Data Analyst, Data Analysis, Report automation, Web Analytics...",Delhi,HR,2018-09-18,Not disclosed
Gartner India Research & Advisory Services Pvt Ltd,0-4 yrs,,https://www.naukri.com/job-listings-Power-BI-Data-Analyst-Gartner-India-Research-Advisory-Services-Pvt-Ltd-Gurgaon-0-to-4-years-170918901009?src=jobsearchDesk&sid=1539017115299&xp=3&px=2,Power BI - Data Analyst,"Data Quality, Email Marketing, Data Analysis, Power Bi, SQL Queries...",Gurgaon,HR,2018-09-17,Not disclosed
Optum Global Solutions (India) Private Limited,5-8 yrs,"5+ years of experience in SPARK, MARP and TWS and SSMO;Experience with Analysis, Design, Development, ...",https://www.naukri.com/job-listings-Senior-Data-Analyst-Spark-MARP-Optum-Global-Solutions-India-Private-Limited-Gurgaon-5-to-8-years-100918900096?src=jobsearchDesk&sid=1539017115299&xp=4&px=2,"Senior Data Analyst - ( Spark, MARP )","Core Java, Spring Mvc, JSP Servlets, SOAP, Spring Framework, J2Ee, Wso2...",Gurgaon,HR,2018-09-12,Not disclosed
Careerist management Consultants Pvt. Ltd.,3-8 yrs,,https://www.naukri.com/job-listings-Business-Analyst-data-Analyst-Careerist-management-Consultants-Pvt-Ltd-Gurgaon-3-to-8-years-200818006209?src=jobsearchDesk&sid=1539017115299&xp=5&px=2,Business Analyst/data Analyst,"data analysis, data analyst, data analytics, data mining, data crunching...",Gurgaon,Vimal Sharma,2018-09-06,"4,00,000 - 7,00,000 P.A."
HR Escalations,3-5 yrs,,https://www.naukri.com/job-listings-MIS-Executive-Data-Analyst-with-English-Speaking-Skills-HR-Escalations-Delhi-3-to-5-years-050818000195?src=jobsearchDesk&sid=1539017115299&xp=6&px=2,MIS Executive / Data Analyst with English Speaking Skills,"excel, spss, data analysis, market research, reporting tools...",Delhi,Mukesh Negi,2018-09-27,"2,50,000 - 3,50,000 P.A."
Quality Council Of India,2-5 yrs,- Must have Analytical/problem solving ability;Experience in framework designing and strategy;- Hands on ...,https://www.naukri.com/job-listings-Data-Analyst-Quality-Council-Of-India-Delhi-NCR-2-to-5-years-070918001327?src=jobsearchDesk&sid=1539017115299&xp=7&px=2,Data Analyst,"Excel, HLOOKUP, VLOOKUP, Data Extraction, Statistical Analysis, STATA, Data...",Delhi NCR,Pooja Gupta,2018-09-07,"3,25,000 - 7,00,000 P.A."
Talent Socio,2-4 yrs,2) 1+ years of relevant experience;- 2-3 years of work-ex preferably in an analytical role that involved ...,https://www.naukri.com/job-listings-Data-Analyst-R-sql-Talent-Socio-Gurgaon-Gurugram-2-to-4-years-030918900238?src=jobsearchDesk&sid=1539017115299&xp=8&px=2,Data Analyst - R/sql,"SQL, Data Modeling, Data Warehousing, Data Analysis, Excel...","Gurgaon, Gurugram",HR,2018-09-04,Not disclosed
McKinsey Knowledge Centre India Pvt Ltd,3-6 yrs,3+ years of relevant and professional work experience with a reputed analytics firm;Experience with ...,https://www.naukri.com/job-listings-Data-Analyst-Periscope-ventures-McKinsey-Knowledge-Centre-India-Pvt-Ltd-Gurgaon-3-to-6-years-240818901471?src=jobsearchDesk&sid=1539017115299&xp=9&px=2,"Data Analyst - Periscope,ventures","AWS, Azure, Amazon Web Services, cloud architecture, Data Warehousing...",Gurgaon,HR,2018-08-27,Not disclosed
Alqimi India Private Limited,2-4 yrs,The SIFT platform is based on open source technologies and the belief the primary building blocks of a ...,https://www.naukri.com/job-listings-Alqimi-Analytics-Intelligence-Data-Analyst-Ss-09-18-Alqimi-India-Private-Limited-Gurgaon-2-to-4-years-070918003407?src=jobsearchDesk&sid=1539017115299&xp=10&px=2,Alqimi Analytics & Intelligence/ Data Analyst/ Ss/09/18,"data analysis, data analytics, open source, web technologies...",Gurgaon,Nitin,2018-09-07,Not disclosed
Antal Infotech Pvt. Ltd.,5-10 yrs,Proficient into Python Experience into AWS      Exposure in unit testing ...,https://www.naukri.com/job-listings-Looking-for-Data-Analyst-scientist-c2h-Antal-Infotech-Pvt-Ltd-Delhi-NCR-5-to-10-years-140918002969?src=jobsearchDesk&sid=1539017115299&xp=11&px=2,Looking for Data Analyst/scientist (c2h),Data Analysis,Delhi NCR,Priyanka,2018-09-14,"5,50,000 - 15,50,000 P.A."
WSNE Consulting Pvt Ltd,5-10 yrs,,https://www.naukri.com/job-listings-Hiring-for-Data-Analyst-Profile-for-Leading-Brands-WSNE-Consulting-Pvt-Ltd-Gurgaon-5-to-10-years-100918004348?src=jobsearchDesk&sid=1539017115299&xp=12&px=2,Hiring for Data Analyst Profile for Leading Brands,"SSIS, SQL Server, Data Analysis, mis",Gurgaon,Annu Prajapati,2018-09-10,"7,00,000 - 11,00,000 P.A."
Baby Destination,2-6 yrs,"- At least 2-3 years of work experience in data analysis, business intelligence, and analytics reporting ...",https://www.naukri.com/job-listings-Senior-Data-Research-Analyst-Baby-Destination-Delhi-East-of-Kailash-2-to-6-years-240918901561?src=jobsearchDesk&sid=1539017115299&xp=13&px=2,Senior Data Research Analyst,"Data Analysis, Data Research, Data Analytics, R, Product Sales, Statistical...",Delhi(East of Kailash),HR,2018-09-25,Not disclosed
IHS Markit,3-6 yrs,,https://www.naukri.com/job-listings-Sr-Quality-and-Data-Governance-Analyst-PL-SQL-Gurgaon-IHS-Markit-Gurgaon-3-to-6-years-090818004828?src=jobsearchDesk&sid=1539017115299&xp=14&px=2,Sr. Quality and Data Governance Analyst | PL SQL | Gurgaon,"ETL, SQL, Data Governance, Data Quality, Data Modeling...",Gurgaon,Urvashee Kansal,2018-09-26,"5,00,000 - 8,50,000 P.A."
Catapult Management Resources Pvt. Ltd.,4-9 yrs,"We are looking one ""Deputy Manager-BI/Data Analyst"" with one FMCG MNC clients  Technical skill ...",https://www.naukri.com/job-listings-Deputy-Manager-bi-data-Analyst-Catapult-Management-Resources-Pvt-Ltd-Delhi-NCR-4-to-9-years-300818008176?src=jobsearchDesk&sid=1539017115299&xp=15&px=2,Deputy Manager-bi/data Analyst,"machine learning, data analysis, analytics, sas, Python, Tableau",Delhi NCR,Pooran Singh,2018-08-30,"9,00,000 - 13,00,000 P.A."
Brainsearch Consulting Pvt Ltd,4-8 yrs,,https://www.naukri.com/job-listings-Senior-Data-Analyst-R-Python-Machine-Learning-Gurgaon-Brainsearch-Consulting-Pvt-Ltd-Delhi-NCR-Sector-24-Gurgaon-Bengaluru-Hyderabad-4-to-8-years-050718007612?src=jobsearchDesk&sid=1539017115299&xp=16&px=2,"Senior Data Analyst - R, Python & Machine Learning @ Gurgaon","R, Python, Machine learning, SAS, data mining, Linear Regression...","Delhi NCR(Sector-24 Gurgaon), Bengaluru, Hyderabad",Ranjan,2018-08-14,"9,00,000 - 15,00,000 P.A. Excellent Salary"
Windows Consultants Pvt. Ltd.,5-8 yrs,"Experience in understanding hive tables such as partitions, buckets, indexes;Experience with data ...",https://www.naukri.com/job-listings-Senior-Data-Analyst-Big-Data-Hadoop-Windows-Consultants-Pvt-Ltd-Gurgaon-5-to-8-years-310818002617?src=jobsearchDesk&sid=1539017115299&xp=17&px=2,Senior Data Analyst- Big Data Hadoop,"Hive, Spark, Hadoop, Big Data, SQL Server, Alteryx, MySQL...",Gurgaon,Sadhna Mehta,2018-09-05,Not disclosed
INMORPHIS SERVICES PRIVATE LIMITED,2-5 yrs,Should have 3+ years creating predictive models using advance machine learning techniques;Strong ...,https://www.naukri.com/job-listings-Analyst-senior-Analyst-data-Science-INMORPHIS-SERVICES-PRIVATE-LIMITED-Noida-2-to-5-years-110918001172?src=jobsearchDesk&sid=1539017115299&xp=18&px=2,Analyst /senior Analyst-data Science,"predictive analytics, predictive modeling, logistic regression...",Noida,Human Resources,2018-09-12,Not disclosed
MakeMyTrip (India) Pvt Ltd,2-3 yrs,Languages Required: R/Python with SQL  Advanced analytics    - Customer ...,https://www.naukri.com/job-listings-Senior-Executive-Assistant-Manager-Data-Analyst-Online-Marketing-MakeMyTrip-India-Pvt-Ltd-Gurgaon-Gurugram-2-to-3-years-051018002593?src=jobsearchDesk&sid=1539017115299&xp=19&px=2,Senior Executive/ Assistant Manager - Data Analyst - Online Marketing,"Online Marketing, Web Analytics, SQL, Time Series, Advanced Analytics, Data...","Gurgaon, Gurugram",Isha Kalia,2018-10-05,Not disclosed
Excellent Job Solutions Private Limited,4-9 yrs,,https://www.naukri.com/job-listings-MIS-Data-Analyst-Excellent-Solutions-Private-Limited-Delhi-Noida-Ghaziabad-Gurgaon-Faridabad-4-to-9-years-200918006267?src=jobsearchDesk&sid=1539017115299&xp=20&px=2,MIS / Data Analyst,"VLOOKUP, HLOOKUP, Pivot Table, Excel, MIS, Data Analysis","Delhi, Noida, Ghaziabad, Gurgaon, Faridabad",Monika,2018-09-20,"2,75,000 - 7,50,000 P.A."
MakeMyTrip (India) Pvt Ltd,2-4 yrs,This is a  Senior Executive/Assistant Manager role      Languages required ...,https://www.naukri.com/job-listings-Data-Analyst-Data-Scientist-Online-Marketing-python-r-MakeMyTrip-India-Pvt-Ltd-Gurgaon-2-to-4-years-011018004684?src=jobsearchDesk&sid=1539017115299&xp=21&px=2,Data Analyst / Data Scientist - Online Marketing(python/r),"Online Marketing, Web Analytics, SQL, Time Series, Advanced Analytics, Data...",Gurgaon,Isha Kalia,2018-10-01,Not disclosed
HuQuo,3-8 yrs,"- Strong SAS at least 3 years of experience in SAS, VBA, and SQL (Mandatory);- Should have analytical ...",https://www.naukri.com/job-listings-Senior-Business-Analyst-SAS-Data-Analytics-Firm-HuQuo-Delhi-NCR-Gurgaon-3-to-8-years-230818900271?src=jobsearchDesk&sid=1539017115299&xp=22&px=2,Senior Business Analyst - SAS Data - Analytics Firm,"sql, business analysis, data analytics, data mining, sas, vba, regression...","Delhi NCR, Gurgaon",HuQuo Consulting,2018-08-29,Not disclosed
Optum Global Solutions (India) Private Limited,2-5 yrs,,https://www.naukri.com/job-listings-Senior-Data-Engineering-Analyst-Tableau-BI-Optum-Global-Solutions-India-Private-Limited-Gurgaon-2-to-5-years-270918900703?src=jobsearchDesk&sid=1539017115299&xp=23&px=2,Senior Data Engineering Analyst - Tableau BI,"Process Compliance, Cognos, SQL Server, Oracle, MS Access, BI Data Modeling...",Gurgaon,HR,2018-09-27,Not disclosed
Huquo,3-5 yrs,- Experience in data profiling and data quality analysis preferred;- 2-3 years- experience with a data ...,https://www.naukri.com/job-listings-Data-Quality-Analyst-BI-Tools-Huquo-Delhi-NCR-Bengaluru-Gurgaon-3-to-5-years-280918005638?src=jobsearchDesk&sid=1539017115299&xp=24&px=2,Data Quality Analyst - BI Tools,"Data Quality Analyst, BI, Data Quality Consultant is, SQL, Informatica...","Delhi NCR, Bengaluru, Gurgaon",Janardhan,2018-09-28,Not disclosed
Fiserv India Pvt Ltd,3-5 yrs,A good experience in ETL development for 3- 5 years and with hands- on experience in a migration or data ...,https://www.naukri.com/job-listings-Data-Architect-Analyst-Fiserv-India-Pvt-Ltd-Noida-3-to-5-years-270918900531?src=jobsearchDesk&sid=1539017115299&xp=25&px=2,"Data Architect, Analyst","Data Architect, SQL, Informatica, SSIS, Stored procedures, Test cases...",Noida,HR,2018-09-27,Not disclosed
simply people,2-5 yrs,"- 2-4 years experience in a business intelligence/analyst role in a relevant industry such as e-commerce, ...",https://www.naukri.com/job-listings-Data-Analyst-Business-Intelligence-simply-people-Delhi-2-to-5-years-260918009184?src=jobsearchDesk&sid=1539017115299&xp=26&px=2,Data Analyst - Business Intelligence,"Postgresql, Artificial Intelligence, Business Finance, SQL Server...",Delhi,Rajeev,2018-09-26,Not disclosed
Pro-Find Solutions Private limited,6-8 yrs,,https://www.naukri.com/job-listings-Lead-Data-Analyst-Pro-Find-Solutions-Private-limited-Gurgaon-6-to-8-years-040918002409?src=jobsearchDesk&sid=1539017115299&xp=27&px=2,Lead Data Analyst,"SPSS, Statistical Software, Data Analysis, SAS, Alteryx, Tableau...",Gurgaon,Roopa Vaid,2018-09-04,"9,00,000 - 11,00,000 P.A. Bonus"
Iscent E Services Pvt. Ltd.,6-11 yrs,Bachelors/Masters degree in Computer Science & Engineering from a top tier university ...,https://www.naukri.com/job-listings-Data-Analyst-SQL-Iscent-E-Services-Pvt-Ltd-Delhi-NCR-6-to-11-years-071217002044?src=jobsearchDesk&sid=1539017115299&xp=28&px=2,Data Analyst SQL,"SQL, Database, Data Analysis, SSRS, SSIS, reporting services",Delhi NCR,Team Iscent,2018-08-24,Not disclosed
HuQuo,3-5 yrs,- Experience in data profiling and data quality analysis preferred;- 2-3 years- experience with a data ...,https://www.naukri.com/job-listings-Senior-Business-Analyst-Assistant-Manager-Data-Quality-Analyst-HuQuo-Delhi-NCR-3-to-5-years-220918900105?src=jobsearchDesk&sid=1539017115299&xp=29&px=2,Senior Business Analyst/ Assistant Manager - Data Quality Analyst,"SQL, Data Quality, Data Profiling, Oracle, Trillium, Consulting...",Delhi NCR,Ranjeet Singh,2018-09-25,Not disclosed
HuQuo,3-5 yrs,- Experience in data profiling and data quality analysis preferred;- 2-3 years- experience with a data ...,https://www.naukri.com/job-listings-Data-Quality-Analyst-BI-Tools-HuQuo-Delhi-NCR-Bengaluru-Gurgaon-3-to-5-years-140918900440?src=jobsearchDesk&sid=1539017115299&xp=30&px=2,Data Quality Analyst - BI Tools,"SQL, Data Quality, Oracle, Data Profiling, Trillium, Informatica...","Delhi NCR, Bengaluru, Gurgaon",Ranjeet Singh,2018-09-17,Not disclosed
HyrEzy Talent Solutions,1-5 yrs,- Experience with building insights using varied/alternate data sources;- Experience with large data ...,https://www.naukri.com/job-listings-Data-Scientist-business-Analyst-Fintech-HyrEzy-Talent-Solutions-Gurgaon-1-to-5-years-140918002794?src=jobsearchDesk&sid=1539017115299&xp=31&px=2,Data Scientist/business Analyst - Fintech,"Data Analytics, Python, Business Analysis, Statistical Analysis...",Gurgaon,Harsh Bhardwaj,2018-09-17,Not disclosed
WNS GLOBAL SERVICES PRIVATE LIMITED,1-4 yrs,Maintain and sustain good relationships with team members and onshore partners;Apply financial concepts ...,https://www.naukri.com/job-listings-Data-Analyst-Financial-Reporting-WNS-GLOBAL-SERVICES-PRIVATE-LIMITED-Gurgaon-1-to-4-years-190618001258?src=jobsearchDesk&sid=1539017115299&xp=32&px=2,Data Analyst - Financial Reporting,"Advanced Excel, VBA, Finance, Dashboards, Data Analysis, MS Access...",Gurgaon,Shakul Jain,2018-09-11,"50,000 - 3,00,000 P.A."
SLA Consultants India,0-5 yrs,,https://www.naukri.com/job-listings-MIS-Executive-Reporting-Analyst-Backend-Operation-Data-4-Jobs-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-250918000687?src=jobsearchDesk&sid=1539017115299&xp=33&px=2,MIS Executive | Reporting Analyst | Backend | Operation | Data-4 Jobs,"mis executive, mis coordinator, mis analyst, office assistant...","Delhi NCR, Gurgaon, Noida",Bhanu,2018-09-25,"2,25,000 - 4,25,000 P.A."
Natureloc Marketing Pvt Ltd,0-2 yrs,,https://www.naukri.com/job-listings-Data-Quality-Analyst-Natureloc-Marketing-Pvt-Ltd-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-0-to-2-years-240918002694?src=jobsearchDesk&sid=1539017115299&xp=34&px=2,Data/ Quality Analyst,"Data Quality, Data Analysis, Analytical Skills, Communication Skills...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune",Natureloc Marketing Pvt Ltd,2018-09-24,"3,00,000 - 5,00,000 P.A."
BlackRock Services India Pvt. Ltd.,2-5 yrs,,https://www.naukri.com/job-listings-Analyst-associate-UI-Developer-Data-Visualization-Specialist-BlackRock-Services-India-Pvt-Ltd-Gurgaon-2-to-5-years-210918900937?src=jobsearchDesk&sid=1539017115299&xp=35&px=2,Analyst/associate - UI Developer- Data Visualization Specialist,"CSS, JQuery, Javascript, UI Development, HTML, Java, Python, NoSQL...",Gurgaon,HR,2018-09-21,Not disclosed
Fiserv India Pvt Ltd,4-7 yrs,"The position doesnt require working in shifts, however flexibility to overlap with US hours is required ...",https://www.naukri.com/job-listings-Data-Architect-Analyst-Fiserv-India-Pvt-Ltd-Noida-4-to-7-years-170918901684?src=jobsearchDesk&sid=1539017115299&xp=36&px=2,"Data Architect, Analyst","Data Architect, SQL, SSIS, SSRS, Stored procedures, Data warehousing...",Noida,HR,2018-09-18,Not disclosed
Fiserv India Pvt Ltd,4-6 yrs,A good experience in ETL development for 4- 6 years and with hands- on experience in a data migration/ ...,https://www.naukri.com/job-listings-Data-Architect-Analyst-Fiserv-India-Pvt-Ltd-Noida-4-to-6-years-100918901140?src=jobsearchDesk&sid=1539017115299&xp=37&px=2,"Data Architect, Analyst","Data Architect, SQL, Informatica, SSIS, SSRS, Stored procedures, Test cases...",Noida,HR,2018-09-11,Not disclosed
Pacific Systems and Services,1-3 yrs,"- Experience in analyzing large, complex, multi-dimensional data sets;- 1-3 years of experience working ...",https://www.naukri.com/job-listings-Business-Analyst-Data-SaaS-Platform-Pacific-Systems-and-Services-Gurgaon-1-to-3-years-130918002875?src=jobsearchDesk&sid=1539017115299&xp=38&px=2,Business Analyst - Data - SaaS Platform,"Business Analysis, SQL, Statistical Programming, Web Analytics, R...",Gurgaon,,2018-09-13,Not disclosed
SLA Consultants India,0-5 yrs,,https://www.naukri.com/job-listings-DATA-Analytics-DATA-Science-Analyst-SAS-R-Python-RPA-BI-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-060918000358?src=jobsearchDesk&sid=1539017115299&xp=39&px=2,DATA Analytics / DATA Science / Analyst - SAS / R / Python / RPA / BI,"data Analyst, reporting analyst, SAS, statistics, sas programmer...","Delhi NCR, Gurgaon, Noida",Bhanu,2018-09-06,"2,00,000 - 4,25,000 P.A."
ANRI SOLUTIONS HR SERVICES PVT LTD,3-5 yrs,,https://www.naukri.com/job-listings-Senior-Analyst-Data-Visualisation-ANRI-SOLUTIONS-HR-SERVICES-PVT-LTD-Gurgaon-Faridabad-Noida-Delhi-3-to-5-years-240918002342?src=jobsearchDesk&sid=1539017115299&xp=40&px=2,Senior Analyst- Data Visualisation,"Alteryx, Spotfire, SQL Server, Tableau","Gurgaon, Faridabad, Noida, Delhi",Shaiwali,2018-09-24,Not disclosed
SLA Consultants India,2-7 yrs,,https://www.naukri.com/job-listings-MIS-Executive-Reporting-Analyst-Backend-Operation-Data-4-Jobs-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-2-to-7-years-180918000213?src=jobsearchDesk&sid=1539017115299&xp=41&px=2,MIS Executive | Reporting Analyst | Backend | Operation | Data-4 Jobs,"mis executive, mis coordinator, mis analyst, office assistant...","Delhi NCR, Gurgaon, Noida",Bhanu,2018-09-18,"2,25,000 - 4,25,000 P.A."
CWT India Pvt Ltd,5-10 yrs,- Minimum 5 years working in a large globally distributed enterprise;- Certified in IT standards: e.g ...,https://www.naukri.com/job-listings-Data-Governance-Analyst-Gurgaon-CWT-India-Pvt-Ltd-Gurgaon-5-to-10-years-060818005099?src=jobsearchDesk&sid=1539017115299&xp=42&px=2,Data Governance Analyst - Gurgaon,"Data Governance, Data Quality, Data Management, Legal Compliance, Providing...",Gurgaon,Anshu,2018-09-25,Not disclosed
HuQuo Consulting Pvt. Ltd.,2-5 yrs,- 2-5 years of total experience of Data Analytics / Data Insights Generation;- Experience in credit card ...,https://www.naukri.com/job-listings-Business-Analyst-senior-Business-Analyst-Data-Analytics-BFSI-HuQuo-Consulting-Pvt-Ltd-Delhi-NCR-2-to-5-years-210818001201?src=jobsearchDesk&sid=1539017115299&xp=43&px=2,Business Analyst/senior Business Analyst - Data Analytics - BFSI,"Business Analyst, Data Analytics, Analytics, Data Insights Generation, SAS,...",Delhi NCR,Manoj,2018-08-21,Not disclosed
HyrEzy Talent Solutions,2-5 yrs,Experience with building insights using varied/alternate data sources;Experience with large data sets ...,https://www.naukri.com/job-listings-Data-Scientist-Business-Analyst-Fintech-Funded-by-Accel-Partners-HyrEzy-Talent-Solutions-Gurgaon-2-to-5-years-070918000556?src=jobsearchDesk&sid=1539017115299&xp=44&px=2,Data Scientist / Business Analyst- Fintech Funded by Accel Partners,"Python, R, Lending, Analytics, Hadoop, Spark, SAS, distributed computing...",Gurgaon,PRIYARANJAN MISHRA,2018-09-07,Not disclosed
PG Industry Limited (Marble City),2-5 yrs,,https://www.naukri.com/job-listings-MIS-Executive-Sales-Coordinator-female-PG-Industry-Limited-Marble-City-Delhi-NCR-2-to-5-years-081018001887?src=jobsearchDesk&sid=1539017115299&xp=45&px=2,MIS Executive cum Sales Coordinator (female),"Sales, Marketing, CRM, MIS, Ms Excel, Excel, Reports, data analysis...",Delhi NCR,DIPTI,2018-10-08,"2,00,000 - 3,50,000 P.A."
SLA Consultants India,0-0 yrs,,https://www.naukri.com/job-listings-Fresher-Analytics-Hiring-for-Analyst-Data-Research-Team-mnc-kpo-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-Faridabad-Ghaziabad-Greater-Noida-0-to-0-years-060918000388?src=jobsearchDesk&sid=1539017115299&xp=46&px=2,Fresher Analytics ( Hiring for Analyst | Data Research Team )-mnc-kpo,"Analysis, research, analyst, research analyst, research associate, research...","Delhi NCR, Gurgaon, Noida, Faridabad, Ghaziabad, Greater Noida",Bhanu,2018-09-06,"2,25,000 - 4,25,000 P.A."
Mastermind Network,1-6 yrs,,https://www.naukri.com/job-listings-Analyst-senior-Analyst-Data-Visualization-tableau-Consulting-Firm-Mastermind-Network-Delhi-NCR-Bengaluru-1-to-6-years-220818000747?src=jobsearchDesk&sid=1539017115299&xp=47&px=2,Analyst/senior Analyst - Data Visualization/tableau - Consulting Firm,"Data Visualization, SQL, Tableau, Data Analytics, Data Analysis, Dashboards...","Delhi NCR, Bengaluru",,2018-08-22,Not disclosed
KartRocket,3-4 yrs,Candidate should be able to work on large data sets spread across various in-house products to find new ...,https://www.naukri.com/job-listings-Data-Analyst-Machine-Learning-Python-KartRocket-Delhi-3-to-4-years-180918004352?src=jobsearchDesk&sid=1539017115299&xp=48&px=2,Data Analyst - Machine Learning/ Python,"Data Analyst, Machine Learning, Python, Clustering, Decision tree learning,...",Delhi,HR,2018-09-18,Not disclosed
Froyo Technologies Private Limited,0-2 yrs,Proven working experience as a data analyst or business data ...,https://www.naukri.com/job-listings-Data-Analyst-Froyo-Technologies-Private-Limited-Delhi-NCR-0-to-2-years-120918003458?src=jobsearchDesk&sid=1539017115299&xp=49&px=2,Data Analyst,"Advanced Excel, MySQL",Delhi NCR,Piyusha Nagrey,2018-09-12,"1,00,000 - 1,25,000 P.A."
Alloys Consulting Private Limited,8-12 yrs,"- To be successful in this role, you will have an overall post-qualification experience of around 10-12 ...",https://www.naukri.com/job-listings-Manager-avp-Data-business-Analyst-Enterprise-Data-Management-Frame-Alloys-Consulting-Private-Limited-Gurgaon-8-to-12-years-170918900139?src=jobsearchDesk&sid=1539017115299&xp=50&px=2,Manager/avp - Data/business Analyst - Enterprise Data Management Frame,"Data Quality, Business Analysis, Finance, Stakeholder Management...",Gurgaon,HR,2018-09-17,Not disclosed
,,,,,,,,,
Decision Point,3-4 yrs,"Data transformation into required formats;Programming capability preferably in Python, R;Understanding ...",https://www.naukri.com/job-listings-Data-Analyst-Decision-Point-Gurgaon-3-to-4-years-081018900227?src=jobsearchDesk&sid=1539017116462&xp=1&px=1,Data Analyst,"Data Extraction, Data Analysis, SQL, Data Quality, Tableau, Quality Check",Gurgaon,HR,2018-10-08,Not disclosed
R1 RCM Global Private Limited,3-5 yrs,1-2 years of experience relating to ETL flat file/real-time message data loading; 3-5 years of ...,https://www.naukri.com/job-listings-Walk-in-for-Data-Analyst-SQL-Server-R1-RCM-Global-Private-Limited-Noida-Sector-135-Noida-3-to-5-years-081018004644?src=jobsearchDesk&sid=1539017116462&xp=2&px=1,Walk-in  for Data Analyst (SQL Server),"ssis, ms sql server, t - sql, stored procedures, data processing",Noida(Sector-135 Noida),Baijnath Choudhary,2018-10-08,Not disclosed
Radiant Infotech,0-5 yrs,,https://www.naukri.com/job-listings-Data-Analyst-Radiant-Infotech-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Kolkata-Chandigarh-Jaipur-Madurai-0-to-5-years-081018000190?src=jobsearchDesk&sid=1539017116462&xp=3&px=1,Data Analyst,"Excel, SQL, SAS, SPSS, VBA, MS Access, Powerpoint, Data Mining...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Kolkata, Chandigarh, Jaipur, Madurai",Deepak Rawat,2018-10-08,"4,00,000 - 9,00,000 P.A. better than your expectations"
SLA Consultants India,0-0 yrs,,https://www.naukri.com/job-listings-Fresher-Analytics-Hiring-for-Analyst-Data-Research-Team-mnc-kpo-SLA-Consultants-India-Delhi-NCR-Faridabad-Ghaziabad-Greater-Noida-Gurgaon-Noida-0-to-0-years-081018000281?src=jobsearchDesk&sid=1539017116462&xp=4&px=1,Fresher Analytics ( Hiring for Analyst | Data Research Team )-mnc-kpo,"Analysis, research, analyst, research analyst, research associate, research...","Delhi NCR, Faridabad, Ghaziabad, Greater Noida, Gurgaon, Noida",Bhanu,2018-10-08,"2,25,000 - 4,25,000 P.A."
FOCSUN SOLAR INDIA PRIVATE LIMITED,1-6 yrs,,https://www.naukri.com/job-listings-Data-Analyst-FOCSUN-SOLAR-INDIA-PRIVATE-LIMITED-Bengaluru-Kolkata-Delhi-NCR-Hyderabad-Mumbai-Kochi-Visakhapatnam-Chennai-Pune-1-to-6-years-051018004416?src=jobsearchDesk&sid=1539017116462&xp=5&px=1,Data Analyst,"Data Analysis, SQL, Data Quality, Data Mining, Business Intelligence...","Bengaluru, Kolkata, Delhi NCR, Hyderabad, Mumbai, Kochi, Visakhapatnam, Chennai, Pune",UDAY KUMAR,2018-10-08,"4,75,000 - 9,00,000 P.A. Medical, life, dental, disabil..."
Great Learning-Startup,1-3 yrs,1+ years of hands-on experience in the below functional skills: ...,https://www.naukri.com/job-listings-Data-Science-Analyst-Great-Learning-Startup-Gurgaon-1-to-3-years-051018900739?src=jobsearchDesk&sid=1539017116462&xp=6&px=1,Data Science Analyst,"data science, data analytics, statistical analysis, tableau, data modeling,...",Gurgaon,HR,2018-10-08,Not disclosed
BlackRock Services India Pvt. Ltd.,0-2 yrs,,https://www.naukri.com/job-listings-Analyst-Client-Port-Data-BlackRock-Services-India-Pvt-Ltd-Gurgaon-0-to-2-years-081018901030?src=jobsearchDesk&sid=1539017116462&xp=7&px=1,Analyst - Client Port Data,"Retail Sales, Legal Documentation, Mba Finance, Legal Compliance...",Gurgaon,HR,2018-10-08,Not disclosed
